"FundingOrgName","ProjectReference","LeadROName","Department","ProjectCategory","PISurname","PIFirstName","PIOtherNames","PI ORCID iD","StudentSurname","StudentFirstName","StudentOtherNames","Student ORCID iD","Title","StartDate","EndDate","AwardPounds","ExpenditurePounds","Region","Status","GTRProjectUrl","ProjectId","FundingOrgId","LeadROId","PIId"
"Innovate UK","10117189","NEWTON'S TREE LTD",,"Department for Science, Innovation & Technology","Shuaib","Haris","","",,,,"","Newton's Cradle","01/03/2024","31/10/2024","70000",,"South East","Closed","http://gtr.ukri.org/projects?ref=10117189","0511D9D6-93E0-4C3E-83EE-0182527AFDAD","12E03F45-B517-4D83-A182-3D142D1A471A","F739D642-26BA-4B54-8D13-A40E80D219F9","7C208418-A571-4854-853B-BC5796A9962C"
"ATI","10008315","EMBEDDED LOGIC LIMITED",,"BEIS-Funded Programmes","Gonias","Angelos","","",,,,"","VANTAGE - An intelligent payload that enables UAVs to autonomously land on maritime vessels, ultimately addressing Urban Air Mobility requirements.","31/03/2022","29/09/2023","210000",,"South East","Closed","http://gtr.ukri.org/projects?ref=10008315","0248EF3F-DD65-4561-BD94-020C64D6F13D","B51DB087-2804-4E46-8896-F5FC40D5A4FD","F29B0E65-061D-4B63-95EC-A2D2BBC2DEAF","F1E74418-4C21-4FEF-A485-84A98EAEF77A"
"NERC","2922995","University of Southampton","Sch of Ocean and Earth Science","Studentship",,,,"","Fallows","Daisy","","","Does temperature drive enhanced carbon cycling in Holocene lake sediments?","30/09/2024","30/03/2028","0",,"South East","Active","http://gtr.ukri.org/projects?ref=studentship-2922995","031FB79F-1911-4B17-B82C-014F3A875912","8A03ED41-E67D-4F4A-B5DD-AAFB272B6471","64EDCEB7-556D-4890-9582-FD894F98C10D",
"NERC","NE/W009552/1","University of Southampton","Sch of Ocean and Earth Science","Research Grant","Foster","Gavin","","",,,,"","C-FORCE: Carbon-Cycle Feedbacks from Response to Carbon Emissions","21/08/2022","20/08/2027","475573",,"South East","Active","http://gtr.ukri.org/projects?ref=NE/W009552/1","12B11A9F-EEC6-4F42-9D0E-002099A6D5D4","8A03ED41-E67D-4F4A-B5DD-AAFB272B6471","64EDCEB7-556D-4890-9582-FD894F98C10D","1AF154E3-E9D6-42A9-8704-34502063C370"
"EPSRC","2873398","University of Oxford",,"Studentship",,,,"","Seale","Thalia","","","Automated Personalised 4D Heart Modelling for Disease Prediction","30/09/2022","29/09/2026","0",,"South East","Active","http://gtr.ukri.org/projects?ref=studentship-2873398","1349B1A8-C478-4D39-80E5-01252791A45F","798CB33D-C79E-4578-83F2-72606407192C","47649064-FCD1-4D7A-A5AA-31B69B9BDFFC",
"EPSRC","2594586","University of Oxford","Materials","Studentship",,,,"","Choudhury","Tahmid Mobasshir","","","Using Artificial Intelligence to Understand Zeolite Catalysts","30/09/2021","29/09/2025","0",,"South East","Closed","http://gtr.ukri.org/projects?ref=studentship-2594586","0CB9A4A7-4DC8-45F0-9A0C-01AC782A2E0E","798CB33D-C79E-4578-83F2-72606407192C","47649064-FCD1-4D7A-A5AA-31B69B9BDFFC",
"ESRC","ES/X002500/1","University of Southampton","Sch of Humanities","Research Grant","Porter","Alison","","http://orcid.org/0000-0002-8462-1909",,,,"","Digital Empowerment in Language Teaching (DELTEA)","01/12/2022","31/03/2026","687742",,"South East","Closed","http://gtr.ukri.org/projects?ref=ES/X002500/1","0D04DE14-61BF-4341-8A74-000659372E3E","924BE15C-91F2-4AAD-941A-3F338324B6AE","64EDCEB7-556D-4890-9582-FD894F98C10D","36CEFF6E-A543-4A1A-80EC-F2C14C3B4456"
"COVID","ES/V004085/1","Oxford Brookes University","Faculty of Health and Life Sciences","Research Grant","Gonzalez-Gomez","Nayeli","","",,,,"","The effects of social distancing policies on children's language development, sleep and executive functions.","24/05/2020","24/11/2021","209256",,"South East","Closed","http://gtr.ukri.org/projects?ref=ES/V004085/1","1116ED3F-BBBD-454D-A39A-00370E5DCD57","47D1BADC-597A-4B3F-8462-4C3BF3018C12","6A65D12D-B1C4-4E97-8E0E-4B2929DAB942","E79B9521-EB7B-4F98-8FA2-A6B2C7970760"
"ESRC","2931493","University of Surrey","Psychology","Studentship",,,,"",,,,"","Unveiling the Black Box of the Human Mind: Neurocognitive Mechanisms of Knowledge Acquisition in Toddlerhood","30/09/2024","31/12/2027","0",,"South East","Active","http://gtr.ukri.org/projects?ref=studentship-2931493","1DA810D9-6A4F-4ACD-882F-0078F29EC519","924BE15C-91F2-4AAD-941A-3F338324B6AE","BE62EC9C-0D83-4697-802C-3B9892A3BDEB",
"AHRC","AH/W002787/1","UNIVERSITY OF READING","Archaeology","Research Grant","Gilchrist","Roberta","","",,,,"","Glastonbury Abbey: Storytelling through Immersive Heritage Practice","17/01/2022","16/02/2023","80647",,"South East","Closed","http://gtr.ukri.org/projects?ref=AH/W002787/1","4E8DD8C7-8C4B-4D5A-877C-0114E23FC7A1","1291772D-DFCE-493A-AEE7-24F7EEAFE0E9","F5256FFE-0562-4BDC-9561-EAEF93803C3F","544986B5-F1FD-43C2-BA78-F60E9875A0EB"
